class_id,description
9,Bank note acceptors for separating good bank notes from counterfeits
9,Fingerprint imagers
9,Laboratory swabs [laboratory instruments]
9,Ear plugs for divers
9,DVD recorders
9,Notebook computer carrying cases
9,Ergometers not for medical purposes
9,"Scientific apparatus and instruments for measuring relative DNA, RNA and protein and parts and fittings therefor"
9,"Scientific apparatus, namely, spectrophotometer for measuring relative DNA, RNA and protein"
9,Night vision goggles
9,PC tablets
9,Personal security alarms
9,Flash card readers
9,Computer docking stations
9,Electronic agendas
9,Wrist rests for use with computers
9,Bullhorns
9,Guitar amplifiers
9,Disposable cameras
9,Cable jump leads
9,Carbon dioxide detectors
9,CD-ROM drives
9,Cordless telephones
9,Radio-frequency controlled locks
9,Blank integrated circuit cards [blank smart cards]
9,Computer whiteboards
9,Microchips [computer hardware]
9,Transponders
9,Electronic animal confinement systems
9,Power connectors
9,Power adapters
9,Distribution boxes for electrical power
21,Electrical applicators for applying cosmetics to the skin
9,"Measuring apparatus, namely, angle finders"
9,Visual and audio recordings featuring {indicate subject matter}
9,"Laboratory equipment, namely, microarrays"
9,Solid state light based emissive imagers
9,Magnetic stud finders
9,High definition multimedia interface cables
9,Compact discs featuring music and spoken word in the form of poetry
9,Acoustic baffles sold as a component of loudspeakers
9,Compact disc players [music]
9,Wireless adapters for computers
9,Electronic stud finders
9,Multi-functional computer terminals with payment function
9,Wireless adapters used to link computers to a telecommunications network
28,"Electronic gaming machines, namely, devices which accept a wager"
9,"Protective body cooling gear, namely, {indicate specific type of active cooling device, e.g., active cooling vests, active cooling blankets, etc.} to prevent injury due to overheating"
9,"Electronic automated beverage dispensing machines, not heated or cooled"
7,Coin-operated vending machines
9,"Bicycle accessories, namely, electronic sound making devices for use on bicycles that generate {indicate the specific type of sound, e.g., a motorcycle engine sound, etc.}"
9,Cell phone cases
9,Divers masks
9,Holders for contact lenses
9,Battery performance monitors
9,"Eyewear, namely, sunglasses, eyeglasses and ophthalmic frames and cases therefor"
9,Pre-recorded flash drives featuring {indicate subject matter}
9,Battery monitors
9,Monitoring devices for monitoring battery performance characteristics
9,Inspection mirrors
9,GPS navigation device
9,Interactive music manuscript in multimedia video game format distributed as downloadable or digital media
9,Portable electronic devices for monitoring and analyzing ball movement in sports
9,Overlays specially adapted for touchscreen displays
9,"Ad server, namely, a computer server for storing advertisements and delivering advertisements to websites"
9,USB computer access control key
9,Liquid crystal display (LCD) monitors
9,Personal headphones for sound transmitting apparatuses
9,Television monitors with television tuners
9,"Thin-film solar (TFS), vertical axis wind turbine (VAWT) and Hybrid TFS VAWT off-grid power and deep cycle battery storage systems composed of batteries, charge controllers and inverters with integrated LED bulbs and LED light fixtures"
9,Carrying cases for mobile computers
9,Downloadable fact sheets in the field of {indicate subject matter or field}
9,"Head-up displays for use in general aviation aircraft, namely, transparent electronic displays for providing aircraft crew members with navigational and operational information"
9,Prerecorded video cassettes featuring music
9,Optical or telescopic lens sights
9,"Vinyl covers specially adapted for cell phones, MP3 players, laptops, computers, portable satellite radios, personal digital assistants, remote controls, and television satellite recorders"
9,"Ultrasound probes, not for medical use"
9,"Ultrasound inspection devices for non-medical, non-destructive testing"
9,Chargers for batteries
9,Industrial wireless point-to-multipoint radio
9,Electrical reactors
9,Electronic key cards
9,Computer screens
9,"Ultrasound flaw detectors, not for medical purposes"
9,Wireless receivers and transmitters for portable media players
9,Wireless indoor and outdoor speakers
9,"Laboratory equipment, namely, funnels"
9,Alarm monitoring systems
9,"Components for gaming machines that generate or display wager outcomes, namely, controllers, displays, button panels, bolsters, electrical wiring, and computer hardware and software associated therewith"
9,Electronic ultrasound flaw detectors
9,Optical lens sights
9,Computed radiography phosphor scanners not for medical use
9,Laboratory instrument for the detection of pathogens and toxins in a biological sample for research use
9,Microprocessor-based hardware systems used to reduce power consumption
9,Electronic lock assemblies
9,Eye glass chains
9,Binders for CDs
9,Electronic devices used to locate lost articles employing the global positioning system or cellular communication networks
9,"Encoded smart cards containing programming used for {specify the function or purpose and, if the programming is content or field specific, the field of use}"
9,Headsets for cellular or mobile phones
9,Optical inspection apparatus for industrial use
9,Pre-recorded DVDs featuring {indicate subject matter}
9,Wireless cellular phone headsets
28,Face plates for video game consoles for use with external monitors
9,"Electronic apparatus for testing compression, strength, hardness and tensile characteristics of industrial materials"
9,Electronic apparatus for testing the curing and drying of elastomeric materials
